10.4194,16.7048,-30.1003,-2.48972,-9.82194,-3.00914,7.86573,1.57272,6.3571,52.7793,16.1777,1.96704,29.9133,11.5302,-15.9687,0.925564,4.33359,-28.0191,-1.02078,-20.1783,22.3977,-12.1104,13.478,-10.2227
10.4117,16.684,-29.9168,-2.69729,-10.0082,-2.83243,7.44596,1.65374,6.09331,52.9653,17.2048,2.06921,29.6756,11.2385,-15.6726,0.950482,2.11338,-27.7269,-0.953135,-20.5822,22.4395,-12.3785,13.6867,-8.45391
10.4037,16.6749,-29.7319,-2.73684,-10.1104,-2.67905,7.31519,1.74924,5.93159,52.3578,17.7116,2.03566,29.3786,11.6107,-15.695,1.22609,0.922151,-27.6281,-0.810148,-21.0041,22.6869,-12.2625,13.6748,-9.11447
10.3951,16.6696,-29.54,-2.6529,-10.1914,-2.43014,7.19363,1.82368,5.74365,51.6464,18.2149,2.09324,28.9948,11.7512,-15.3617,1.42214,0.396563,-27.6637,-0.391122,-21.6105,23.2309,-11.8145,13.2795,-11.1406
10.3841,16.6488,-29.3447,-2.50765,-10.3526,-2.46894,6.93084,1.85711,5.71898,51.5698,18.5238,2.05559,28.8937,12.2574,-15.0286,1.70983,-0.597689,-27.6786,-0.161279,-21.8039,24.1117,-11.5185,12.8466,-11.8881
10.3736,16.6153,-29.1487,-2.27833,-10.4567,-2.74192,6.39393,1.89875,5.83274,51.8639,18.7716,1.97435,29.0445,12.8488,-15.001,1.96046,-2.66505,-27.737,-0.266955,-21.6658,25.1808,-11.2938,12.5502,-10.5823
10.3599,16.5715,-28.9534,-2.2599,-10.3619,-2.59234,6.0578,1.87772,5.45535,51.9187,19.3145,2.03164,28.8841,13.2441,-15.2026,1.8636,-5.73873,-27.7804,-0.346391,-22.0273,26.364,-10.3924,12.4866,-10.2688
10.3458,16.5643,-28.7542,-2.36002,-10.2713,-2.44292,5.94446,1.79342,4.97885,52.0782,19.7277,2.06085,28.7127,13.9784,-15.0329,1.75063,-8.99435,-27.7763,-0.479807,-22.3193,27.6883,-9.30166,13.1214,-11.1841
10.3343,16.5753,-28.5503,-2.28592,-10.2581,-2.54086,5.87195,1.73346,5.11106,52.5445,19.9706,2.02266,28.6945,14.6633,-14.231,1.88766,-11.8154,-27.9258,-0.751252,-22.2513,29.0729,-8.74962,14.2092,-10.7542
10.323,16.5366,-28.3523,-2.23404,-10.2098,-2.46793,5.65422,1.7393,4.99464,52.7581,20.2443,2.00486,28.5326,15.5901,-13.7856,1.94695,-15.0767,-28.1653,-1.09442,-22.327,30.3575,-8.43111,15.001,-8.05829
